GraphType,|V|,|E| (mean),Density,EmpTime(s),±StdTime,EmpComp,±StdComp,TheoreticalTerm(V^2),Time/V^2,Comp/V^2
Dense,167,22276,0.8035,0.002995,0.000037,39021,0.00,27889.0,0.000000107,1.399154
Dense,168,22540,0.8034,0.003062,0.000064,39504,0.00,28224.0,0.000000108,1.399660
Dense,169,22804,0.8032,0.003104,0.000083,39958,0.00,28561.0,0.000000109,1.399041
Dense,170,23062,0.8027,0.003110,0.000048,40435,0.00,28900.0,0.000000108,1.399135
Dense,171,23335,0.8027,0.003158,0.000053,40847,0.00,29241.0,0.000000108,1.396908
Dense,172,23615,0.8029,0.003164,0.000042,41369,0.00,29584.0,0.000000107,1.398357
Dense,173,23894,0.8030,0.003313,0.000220,41892,0.00,29929.0,0.000000111,1.399713
Dense,174,24177,0.8032,0.003284,0.000007,42382,0.00,30276.0,0.000000108,1.399855
Dense,175,24459,0.8033,0.003275,0.000110,42808,0.00,30625.0,0.000000107,1.397812
Dense,176,24744,0.8034,0.003277,0.000032,43349,0.00,30976.0,0.000000106,1.399438
Dense,177,25027,0.8034,0.003432,0.000195,43856,0.00,31329.0,0.000000110,1.399853
Dense,178,25310,0.8033,0.003556,0.000191,44317,0.00,31684.0,0.000000112,1.398719
Dense,179,25594,0.8033,0.003426,0.000072,44777,0.00,32041.0,0.000000107,1.397491
Dense,180,25881,0.8033,0.003505,0.000033,45265,0.00,32400.0,0.000000108,1.397068
Dense,181,26156,0.8028,0.003506,0.000043,45796,0.00,32761.0,0.000000107,1.397882
Dense,182,26438,0.8026,0.003672,0.000124,46387,0.00,33124.0,0.000000111,1.400405
Dense,183,26723,0.8023,0.003714,0.000164,46835,0.00,33489.0,0.000000111,1.398519
Dense,184,27025,0.8026,0.003714,0.000122,47363,0.00,33856.0,0.000000110,1.398954
Dense,185,27325,0.8027,0.003733,0.000087,47836,0.00,34225.0,0.000000109,1.397692
Dense,186,27609,0.8024,0.003676,0.000044,48423,0.00,34596.0,0.000000106,1.399670
Dense,187,27903,0.8022,0.003777,0.000067,48975,0.00,34969.0,0.000000108,1.400526
Dense,188,28194,0.8020,0.003915,0.000193,49411,0.00,35344.0,0.000000111,1.398002
Dense,189,28498,0.8020,0.003880,0.000131,49978,0.00,35721.0,0.000000109,1.399121
Dense,190,28794,0.8018,0.003963,0.000158,50494,0.00,36100.0,0.000000110,1.398726
Dense,191,29105,0.8020,0.004027,0.000176,50983,0.00,36481.0,0.000000110,1.397522
Dense,192,29395,0.8016,0.004009,0.000071,51605,0.00,36864.0,0.000000109,1.399875
Dense,193,29696,0.8014,0.004043,0.000105,52112,0.00,37249.0,0.000000109,1.399017
Dense,194,30008,0.8015,0.004063,0.000050,52660,0.00,37636.0,0.000000108,1.399192
Dense,195,30327,0.8017,0.004107,0.000059,53246,0.00,38025.0,0.000000108,1.400289
Dense,196,30637,0.8016,0.004128,0.000080,53749,0.00,38416.0,0.000000107,1.399131
Dense,197,30939,0.8013,0.004149,0.000088,54225,0.00,38809.0,0.000000107,1.397227
Dense,198,31262,0.8015,0.004205,0.000097,54884,0.00,39204.0,0.000000107,1.399959
Dense,199,31571,0.8013,0.004255,0.000081,55459,0.00,39601.0,0.000000107,1.400444
Dense,200,31886,0.8012,0.004366,0.000056,55935,0.00,40000.0,0.000000109,1.398375
