GraphType,|V|,|E| (mean),Density,EmpTime(s),±StdTime,EmpComp,±StdComp,TheoreticalTerm((V+E)logV),Time/((V+E)logV),Comp/((V+E)logV)
Dense,171,14535,0.5000,0.001797,0.000478,23823,29.04,109086.9,0.000000016,0.218389
Dense,172,14792,0.5029,0.001513,0.000027,24166,10.71,111126.6,0.000000014,0.217464
Dense,173,14878,0.5000,0.001486,0.000008,24355,80.13,111898.6,0.000000013,0.217652
Dense,174,15138,0.5029,0.001715,0.000325,24645,149.33,113966.4,0.000000015,0.216248
Dense,175,15225,0.5000,0.001794,0.000391,24917,48.02,114748.7,0.000000016,0.217144
Dense,176,15488,0.5029,0.001644,0.000102,25244,107.85,116844.5,0.000000014,0.216048
Dense,177,15576,0.5000,0.001764,0.000169,25372,111.87,117637.2,0.000000015,0.215686
Dense,178,15842,0.5028,0.001607,0.000016,25608,220.11,119761.2,0.000000013,0.213828
Dense,179,15931,0.5000,0.001732,0.000188,25912,64.53,120564.3,0.000000014,0.214928
Dense,180,16200,0.5028,0.001829,0.000270,26230,98.27,122716.6,0.000000015,0.213750
Dense,181,16290,0.5000,0.001904,0.000291,26408,159.29,123530.0,0.000000015,0.213778
Dense,182,16562,0.5028,0.001775,0.000125,26800,194.66,125710.5,0.000000014,0.213191
Dense,183,16653,0.5000,0.001888,0.000187,26963,137.96,126534.3,0.000000015,0.213088
Dense,184,16928,0.5027,0.001879,0.000114,27406,190.63,128743.2,0.000000015,0.212873
Dense,185,17020,0.5000,0.001891,0.000182,27712,72.29,129577.4,0.000000015,0.213864
Dense,186,17298,0.5027,0.001927,0.000115,27950,129.50,131814.7,0.000000015,0.212040
Dense,187,17391,0.5000,0.001889,0.000120,28060,169.53,132659.3,0.000000014,0.211522
Dense,188,17672,0.5027,0.001990,0.000263,28562,194.37,134925.0,0.000000015,0.211688
Dense,189,17766,0.5000,0.007476,0.008092,28664,160.12,135780.1,0.000000055,0.211109
Dense,190,18050,0.5026,0.001853,0.000081,29040,223.73,138074.2,0.000000013,0.210324
Dense,191,18145,0.5000,0.001981,0.000195,29382,113.92,138939.7,0.000000014,0.211473
Dense,192,18432,0.5026,0.002076,0.000217,29975,39.75,141262.3,0.000000015,0.212199
Dense,193,18528,0.5000,0.002052,0.000216,29665,53.90,142138.4,0.000000014,0.208707
Dense,194,18818,0.5026,0.002010,0.000210,30338,137.03,144489.5,0.000000014,0.209967
Dense,195,18915,0.5000,0.001881,0.000053,30444,209.93,145376.1,0.000000013,0.209415
Dense,196,19208,0.5026,0.001893,0.000014,30662,93.31,147755.8,0.000000013,0.207523
Dense,197,19306,0.5000,0.001969,0.000080,30975,125.74,148652.9,0.000000013,0.208371
Dense,198,19602,0.5025,0.002158,0.000259,31414,134.17,151061.3,0.000000014,0.207955
Dense,199,19701,0.5000,0.001931,0.000026,31684,236.09,151968.8,0.000000013,0.208495
Dense,200,20000,0.5025,0.002003,0.000041,32151,103.70,154405.9,0.000000013,0.208228
