GraphType,|V|,|E| (mean),Density,EmpTime(s),±StdTime,EmpComp,±StdComp,TheoreticalTerm((V+E)logV),Time/((V+E)logV),Comp/((V+E)logV)
Sparse,188,564,0.0160,0.000221,0.000035,2078,22.22,5681.1,0.000000039,0.365836
Sparse,189,567,0.0160,0.000170,0.000000,2139,25.70,5717.1,0.000000030,0.374144
Sparse,190,570,0.0159,0.000178,0.000006,2185,47.00,5753.1,0.000000031,0.379796
Sparse,191,573,0.0158,0.000175,0.000010,2140,26.45,5789.2,0.000000030,0.369772
Sparse,192,576,0.0157,0.000185,0.000024,2132,35.58,5825.3,0.000000032,0.365993
Sparse,193,579,0.0156,0.000166,0.000005,2139,56.54,5861.4,0.000000028,0.365045
Sparse,194,582,0.0155,0.000178,0.000002,2240,39.91,5897.5,0.000000030,0.379933
Sparse,195,585,0.0155,0.000169,0.000003,2198,62.56,5933.7,0.000000028,0.370425
Sparse,196,588,0.0154,0.000180,0.000005,2269,24.66,5969.9,0.000000030,0.380071
Sparse,197,591,0.0153,0.000182,0.000006,2262,57.05,6006.2,0.000000030,0.376668
Sparse,198,594,0.0152,0.000192,0.000016,2302,37.21,6042.5,0.000000032,0.381026
Sparse,199,597,0.0152,0.000221,0.000032,2313,25.47,6078.8,0.000000036,0.380506
Sparse,200,600,0.0151,0.000184,0.000005,2275,60.12,6115.1,0.000000030,0.372085
Dense,2,2,1.0000,0.000003,0.000000,5,0.00,4.0,0.000000815,1.250000
Dense,3,3,0.5000,0.000002,0.000000,4,2.87,9.5,0.000000167,0.490723
Dense,4,8,0.6667,0.000003,0.000000,15,0.47,24.0,0.000000116,0.652778
Dense,5,10,0.5000,0.000004,0.000001,20,0.47,34.8,0.000000105,0.593377
Dense,6,18,0.6000,0.000004,0.000000,31,5.19,62.0,0.000000072,0.505058
Dense,7,21,0.5000,0.000005,0.000001,39,1.41,78.6,0.000000066,0.496146
Dense,8,32,0.5714,0.000008,0.000000,65,0.47,120.0,0.000000063,0.544444
Dense,9,36,0.5000,0.000008,0.000001,72,1.70,142.6,0.000000055,0.509417
Dense,10,50,0.5556,0.000010,0.000001,103,5.44,199.3,0.000000050,0.520113
Dense,11,55,0.5000,0.000011,0.000000,114,2.16,228.3,0.000000049,0.499294
Dense,12,72,0.5455,0.000013,0.000001,148,8.60,301.1,0.000000044,0.491471
Dense,13,78,0.5000,0.000015,0.000001,163,4.50,336.7,0.000000043,0.485043
Dense,14,98,0.5385,0.000017,0.000001,204,12.66,426.4,0.000000041,0.479179
Dense,15,105,0.5000,0.000018,0.000000,217,5.89,468.8,0.000000037,0.462857
Dense,16,128,0.5333,0.000020,0.000000,257,2.36,576.0,0.000000035,0.447338
Dense,17,136,0.5000,0.000021,0.000001,284,17.56,625.4,0.000000034,0.454656
Dense,18,162,0.5294,0.000026,0.000002,330,4.64,750.6,0.000000034,0.440544
Dense,19,171,0.5000,0.000027,0.000002,365,19.61,807.1,0.000000034,0.452233
Dense,20,200,0.5263,0.000030,0.000001,408,9.42,950.8,0.000000032,0.429101
Dense,21,210,0.5000,0.000032,0.000001,432,1.70,1014.6,0.000000031,0.426430
Dense,22,242,0.5238,0.000036,0.000001,501,18.37,1177.3,0.000000031,0.425837
Dense,23,253,0.5000,0.000037,0.000001,517,6.80,1248.5,0.000000030,0.414630
Dense,24,288,0.5217,0.000043,0.000001,597,16.39,1430.5,0.000000030,0.417334
Dense,25,300,0.5000,0.000045,0.000005,590,6.34,1509.3,0.000000030,0.391364
Dense,26,338,0.5200,0.000047,0.000003,655,4.50,1711.0,0.000000027,0.383216
Dense,27,351,0.5000,0.000052,0.000003,711,15.92,1797.3,0.000000029,0.395954
Dense,28,392,0.5185,0.000052,0.000000,753,7.79,2019.1,0.000000026,0.372940
Dense,29,406,0.5000,0.000056,0.000004,789,14.38,2113.2,0.000000026,0.373521
Dense,30,450,0.5172,0.000060,0.000003,882,27.80,2355.3,0.000000026,0.374473
Dense,31,465,0.5000,0.000061,0.000002,903,26.41,2457.3,0.000000025,0.367751
Dense,32,512,0.5161,0.000071,0.000004,977,22.29,2720.0,0.000000026,0.359436
Dense,33,528,0.5000,0.000070,0.000001,1047,13.70,2829.9,0.000000025,0.370213
Dense,34,578,0.5152,0.000074,0.000001,1123,22.88,3113.5,0.000000024,0.360791
Dense,35,595,0.5000,0.000078,0.000003,1152,28.60,3231.4,0.000000024,0.356496
Dense,36,648,0.5143,0.000088,0.000008,1230,37.21,3536.2,0.000000025,0.347828
Dense,37,666,0.5000,0.000083,0.000002,1265,30.27,3662.2,0.000000023,0.345507
Dense,38,722,0.5135,0.000090,0.000002,1377,31.71,3988.4,0.000000023,0.345333
Dense,39,741,0.5000,0.000100,0.000011,1394,48.19,4122.6,0.000000024,0.338135
Dense,40,800,0.5128,0.000102,0.000006,1485,30.63,4470.4,0.000000023,0.332184
Dense,41,820,0.5000,0.000104,0.000001,1587,15.51,4612.9,0.000000023,0.344039
Dense,42,882,0.5122,0.000107,0.000001,1632,4.32,4982.5,0.000000021,0.327546
Dense,43,903,0.5000,0.000110,0.000002,1682,29.43,5133.2,0.000000021,0.327668
Dense,44,968,0.5116,0.000136,0.000027,1819,26.14,5524.9,0.000000025,0.329294
Dense,45,990,0.5000,0.000124,0.000002,1855,33.54,5684.1,0.000000022,0.326351
Dense,46,1058,0.5111,0.000130,0.000002,1975,40.71,6098.0,0.000000021,0.323931
Dense,47,1081,0.5000,0.000130,0.000002,1997,33.89,6265.6,0.000000021,0.318726
Dense,48,1152,0.5106,0.000139,0.000004,2162,54.19,6702.0,0.000000021,0.322642
Dense,49,1176,0.5000,0.000140,0.000003,2182,55.25,6878.0,0.000000020,0.317242
Dense,50,1250,0.5102,0.000166,0.000015,2322,24.46,7337.0,0.000000023,0.316568
Dense,51,1275,0.5000,0.000154,0.000010,2329,48.25,7521.6,0.000000021,0.309729
Dense,52,1352,0.5098,0.000158,0.000002,2470,31.59,8003.4,0.000000020,0.308660
Dense,53,1378,0.5000,0.000182,0.000019,2545,29.70,8196.7,0.000000022,0.310493
Dense,54,1458,0.5094,0.000166,0.000001,2601,11.12,8701.4,0.000000019,0.298994
Dense,55,1485,0.5000,0.000185,0.000017,2730,16.74,8903.3,0.000000021,0.306666
Dense,56,1568,0.5091,0.000178,0.000002,2818,20.15,9431.1,0.000000019,0.298868
Dense,57,1596,0.5000,0.000189,0.000012,2914,58.38,9641.8,0.000000020,0.302261
Dense,58,1682,0.5088,0.000210,0.000017,3041,41.00,10192.9,0.000000021,0.298411
Dense,59,1711,0.5000,0.000193,0.000002,3057,13.22,10412.3,0.000000019,0.293660
Dense,60,1800,0.5085,0.000201,0.000004,3203,40.67,10986.8,0.000000018,0.291562
Dense,61,1830,0.5000,0.000211,0.000007,3290,39.65,11215.0,0.000000019,0.293416
Dense,62,1922,0.5082,0.000216,0.000003,3412,32.54,11813.1,0.000000018,0.288831
Dense,63,1953,0.5000,0.000226,0.000010,3485,39.34,12050.2,0.000000019,0.289262
Dense,64,2048,0.5079,0.000226,0.000003,3618,23.33,12672.0,0.000000018,0.285564
Dense,65,2080,0.5000,0.000230,0.000002,3671,26.19,12918.0,0.000000018,0.284178
Dense,66,2178,0.5077,0.000248,0.000006,3891,30.58,13563.6,0.000000018,0.286919
Dense,67,2211,0.5000,0.000242,0.000003,3861,23.55,13818.6,0.000000018,0.279407
Dense,68,2312,0.5075,0.000256,0.000003,4086,31.19,14488.2,0.000000018,0.282023
Dense,69,2346,0.5000,0.000255,0.000003,4109,30.00,14752.1,0.000000017,0.278559
Dense,70,2450,0.5072,0.000280,0.000010,4303,37.70,15445.8,0.000000018,0.278630
Dense,71,2485,0.5000,0.000269,0.000002,4355,48.68,15718.8,0.000000017,0.277100
Dense,72,2592,0.5070,0.000281,0.000002,4530,25.53,16436.7,0.000000017,0.275644
Dense,73,2628,0.5000,0.000292,0.000006,4556,23.55,16718.7,0.000000017,0.272509
Dense,74,2738,0.5068,0.000293,0.000002,4747,30.47,17461.0,0.000000017,0.271863
Dense,75,2775,0.5000,0.000298,0.000001,4854,16.78,17752.1,0.000000017,0.273469
Dense,76,2888,0.5067,0.000321,0.000016,5036,35.23,18518.9,0.000000017,0.271975
Dense,77,2926,0.5000,0.000320,0.000009,5108,35.16,18819.2,0.000000017,0.271443
Dense,78,3042,0.5065,0.000452,0.000187,5202,16.01,19610.5,0.000000023,0.265284
Dense,79,3081,0.5000,0.000369,0.000036,5335,31.04,19919.9,0.000000019,0.267855
Dense,80,3200,0.5063,0.000354,0.000015,5530,42.99,20735.9,0.000000017,0.266703
Dense,81,3240,0.5000,0.000357,0.000008,5660,85.42,21054.6,0.000000017,0.268840
Dense,82,3362,0.5062,0.000372,0.000011,5836,41.10,21895.4,0.000000017,0.266555
Dense,83,3403,0.5000,0.000367,0.000009,5870,67.66,22223.4,0.000000017,0.264151
Dense,84,3528,0.5060,0.000379,0.000011,6112,15.97,23089.1,0.000000016,0.264729
Dense,85,3570,0.5000,0.000375,0.000002,6134,28.39,23426.3,0.000000016,0.261842
Dense,86,3698,0.5059,0.000418,0.000013,6378,39.36,24317.0,0.000000017,0.262313
Dense,87,3741,0.5000,0.000419,0.000023,6429,24.90,24663.6,0.000000017,0.260695
Dense,88,3872,0.5057,0.000423,0.000018,6685,44.60,25579.3,0.000000017,0.261357
Dense,89,3916,0.5000,0.000417,0.000010,6696,42.17,25935.3,0.000000016,0.258181
Dense,90,4050,0.5056,0.000437,0.000008,6923,52.57,26876.3,0.000000016,0.257600
Dense,91,4095,0.5000,0.000431,0.000004,7020,61.70,27241.6,0.000000016,0.257718
Dense,92,4232,0.5055,0.000501,0.000066,7173,20.68,28207.9,0.000000018,0.254314
Dense,93,4278,0.5000,0.000486,0.000042,7341,72.52,28582.7,0.000000017,0.256846
Dense,94,4418,0.5054,0.000463,0.000008,7519,74.55,29574.3,0.000000016,0.254264
Dense,95,4465,0.5000,0.000470,0.000006,7637,18.49,29958.5,0.000000016,0.254919
Dense,96,4608,0.5053,0.000484,0.000006,7854,32.69,30975.7,0.000000016,0.253554
Dense,97,4656,0.5000,0.000504,0.000035,7867,68.84,31369.4,0.000000016,0.250786
Dense,98,4802,0.5052,0.000516,0.000009,8239,66.51,32412.1,0.000000016,0.254206
Dense,99,4851,0.5000,0.000573,0.000074,8252,36.44,32815.3,0.000000017,0.251488
Dense,100,5000,0.5051,0.000527,0.000017,8504,36.08,33883.7,0.000000016,0.250976
Dense,101,5050,0.5000,0.000534,0.000019,8549,85.56,34296.4,0.000000016,0.249278
Dense,102,5202,0.5050,0.000541,0.000014,8829,67.01,35390.5,0.000000015,0.249483
Dense,103,5253,0.5000,0.000568,0.000022,8906,27.90,35812.9,0.000000016,0.248681
Dense,104,5408,0.5049,0.000574,0.000013,9200,31.38,36932.8,0.000000016,0.249101
